餐廳名稱,分類,推薦季度,行政區,地址,招牌特色,備註/適合情境
玉井有間冰舖芒果冰,芒果冰,7月 (芒果季),玉井區,台南市玉井區中正路154號,芒果冰磚+芒果雪花冰,芒果故鄉經典名店，7月芒果盛產期人潮極多，建議分流。
玉井冰棧芒果冰,芒果冰,7月 (芒果季),玉井區,台南市玉井區中華路281巷1號,芒果雪花冰,產地現切芒果冰，空間大且好停車，避開市區名店的優質選擇。
玉梅芒果冰,芒果冰,7月 (芒果季),玉井區,台南市玉井區中正路134號,布丁芒果冰,玉井在地老牌冰果室，出餐快速。
熱情小子芒果冰館,芒果冰,7月 (芒果季),玉井區,台南市玉井區中正路139號,芒果雪花冰,農會經營品牌，座位極多，適合多人團體，人流消化快。
玉井芒果冰-遇見果香,芒果冰,7月 (芒果季),玉井區,台南市玉井區憲政街2號,芒果雪花冰,精緻小農風格冰店，品質優良且環境寬敞。
冰鄉,芒果冰,7月 (芒果季),中西區,台南市中西區民生路一段160號,芒果牛奶冰,市區超人氣排隊名店，7月盛產期排隊常達1.5~2小時，建議分流。
台南國華街阿信芒果冰,芒果冰,7月 (芒果季),中西區,台南市中西區國華街三段17-1號,芒果冰磚,位於國華街熱區，建議外帶邊走邊吃以避開排隊。
冰塔職人雪花-府前店,芒果冰,7月 (芒果季),中西區,台南市中西區府前路二段189號,芒果雪花冰,日式精緻雪花冰店，冷氣強，翻桌率高。
甜葉冰舖 O'smooth,芒果冰,7月 (芒果季),中西區,台南市中西區友愛街225號,芒果牛奶冰,友愛街優質冰舖，芒果新鮮，等候時間少，適合做為冰鄉分流方案。
泰成水果店,芒果冰,7月 (芒果季),中西區,台南市中西區正興街80號,傳統芒果冰,正興街觀光熱點，內用座位極少，常需排隊30分鐘以上。
迦南水果店,芒果冰,7月 (芒果季),中西區,台南市中西區南門路185-4號,新鮮芒果冰,老字號學區水果店，除了冰品亦有熱食，翻桌率快，人潮適中。
洛克薩克 Loke Soke,芒果冰,7月 (芒果季),東區,台南市東區長榮路三段36號,剉嘴芒果牛奶雪花冰,成大學區冰店代表，下午茶熱門時段人多，但出餐極快。
冰ク・かき冰,芒果冰,7月 (芒果季),東區,台南市東區崇善路20號,芒果雪花冰,日式高質感刨冰，環境優雅舒適。
美雪冰菓室,芒果冰,7月 (芒果季),東區,台南市東區裕誠街312號,芒果雪花冰,文青風格冰店，內用空間較小。
小北阿松冰品,芒果冰,7月 (芒果季),北區,台南市北區西門路四段101號,布丁芒果冰,小北商場老字號傳統冰店，人潮穩定。
